Date  :Open  :High  :Low  :Close     Closing price adjusted for splits. :Adj Close     Adjusted closing price adjusted for splits and dividend and/or capital gain distributions. :Volume  
16 Aug 2024:44.41:45.73:44.25:45.41:45.41:1,529,000
15 Aug 2024:44.03:44.87:44.03:44.80:44.80:1,232,800
14 Aug 2024:44.20:44.34:42.25:42.97:42.97:1,547,100
13 Aug 2024:42.00:44.15:41.70:44.12:44.12:1,598,500
12 Aug 2024:41.86:43.22:41.63:41.99:41.99:1,525,200
9 Aug 2024:41.29:42.34:40.84:41.70:41.70:2,208,200
8 Aug 2024:42.97:43.04:40.72:40.84:40.84:3,799,600
7 Aug 2024:43.97:45.39:42.71:43.19:43.19:1,594,500
6 Aug 2024:43.19:44.11:42.31:43.04:43.04:1,722,000
5 Aug 2024:42.45:45.01:41.87:42.67:42.67:3,780,900
2 Aug 2024:46.16:47.77:45.49:47.71:47.71:2,229,700
1 Aug 2024:51.58:52.26:48.13:48.46:48.46:1,690,400
31 July 2024:50.95:52.07:50.38:51.23:51.23:1,226,600
30 July 2024:52.90:53.46:49.74:50.13:50.13:2,333,000
29 July 2024:53.61:53.61:52.13:52.87:52.87:1,409,700
26 July 2024:54.15:54.57:52.17:53.37:53.37:1,518,800
25 July 2024:52.50:55.38:52.14:53.44:53.44:2,255,700
24 July 2024:54.32:55.06:51.84:51.96:51.96:1,501,200
23 July 2024:54.17:56.12:54.17:55.05:55.05:2,509,300
22 July 2024:54.01:54.11:52.30:53.54:53.54:1,521,200
19 July 2024:53.49:54.48:52.82:53.57:53.57:1,652,100
18 July 2024:54.50:55.26:51.86:53.01:53.01:3,737,700
17 July 2024:56.26:56.50:53.81:55.39:55.39:8,165,800
16 July 2024:49.50:50.82:49.36:50.66:50.66:2,057,800
15 July 2024:49.75:50.22:47.66:48.44:48.44:3,122,700
12 July 2024:52.27:52.36:50.77:50.95:50.95:1,853,100
11 July 2024:51.28:52.71:50.85:52.08:52.08:2,267,300
10 July 2024:50.62:50.98:48.96:50.70:50.70:2,525,900
9 July 2024:52.78:52.87:49.16:50.21:50.21:2,130,600
8 July 2024:52.82:53.26:51.89:53.00:53.00:1,895,700
5 July 2024:53.08:53.80:52.28:52.58:52.58:1,639,000
3 July 2024:51.51:53.27:51.43:53.17:53.17:2,069,600
2 July 2024:51.36:52.35:50.72:51.75:51.75:2,507,200
1 July 2024:49.66:51.36:48.23:51.34:51.34:3,737,200
28 June 2024:49.47:49.94:48.67:49.72:49.72:4,484,300
27 June 2024:47.94:50.44:47.88:49.45:49.45:3,828,500
26 June 2024:44.28:49.96:43.94:48.56:48.56:7,757,800
25 June 2024:44.10:44.46:43.12:43.60:43.60:1,876,000
24 June 2024:43.38:44.19:43.20:44.10:44.10:2,387,200
21 June 2024:42.58:43.96:42.29:43.82:43.82:5,742,000
20 June 2024:42.95:43.20:42.26:42.90:42.90:1,923,000
18 June 2024:43.18:43.38:42.73:43.01:43.01:2,047,600
17 June 2024:44.08:44.18:43.19:43.43:43.43:2,375,600
14 June 2024:45.19:45.28:44.26:44.51:44.51:2,482,000
13 June 2024:46.92:46.96:45.05:45.23:45.23:2,066,700
12 June 2024:45.13:46.93:44.87:46.28:46.28:3,707,400
11 June 2024:44.07:44.51:43.47:43.59:43.59:1,733,700
10 June 2024:43.30:44.61:43.25:44.27:44.27:1,973,400
7 June 2024:43.58:43.87:43.16:43.59:43.59:2,148,800
6 June 2024:44.07:44.72:43.30:44.12:44.12:3,075,700
5 June 2024:45.07:45.24:43.82:44.89:44.89:4,401,300
4 June 2024:46.90:48.59:44.58:44.75:44.75:7,906,400
